Type,Title,Language_and_Year_of_Movie,Image_src,URL
Movie,Businessman,"Action, Telugu, 2012",https://j2apps.s.llnwi.net/is1/media/images/cf53f05357818ee3b6646fef24a8505d/2x3/2x/test_pic1540456902138.jpg,/movie/watch-businessman-movie-online-cf53f05357818ee3b6646fef24a8505d
Movie,Yuva,"Thriller, Telugu, 2004",https://j2apps.s.llnwi.net/is1/media/images/d8a8327f8354fe4a4ec10ef88e4f0731/2x3/2x/681b84890616bfb759631ac6e9593ff5_1280x1920.jpg,/movie/watch-yuva-movie-online-d8a8327f8354fe4a4ec10ef88e4f0731
Movie,Lakshmi Bomb,"Drama, Telugu, 2017",https://j2apps.s.llnwi.net/is1/media/images/1f0e1101b0eb009c2b3d655d0c5f6d1e/2x3/2x/test_pic1544793416507.jpg,/movie/watch-lakshmi-bomb-movie-online-1f0e1101b0eb009c2b3d655d0c5f6d1e
Movie,Raghuvaran B. Tech,"Action, Telugu, 2014",https://j2apps.s.llnwi.net/is1/media/images/1738b616841839e2aed7039d108ab140/2x3/2x/test_pic1530796845793.jpg,/movie/watch-raghuvaran-b-tech-movie-online-1738b616841839e2aed7039d108ab140
Movie,Basha,"Crime, Telugu, 1995",https://j2apps.s.llnwi.net/is1/media/images/341f88faf9628e2c8a0855f44e4eaa6e/2x3/2x/4d8f2f36e4be4092d397f14f7283791d_1280x1920.jpg,/movie/watch-basha-movie-online-341f88faf9628e2c8a0855f44e4eaa6e
Movie,Ab Tak Chhappan,"Drama, Telugu, 2004",https://j2apps.s.llnwi.net/is1/media/images/aa156e5f33a641cd4e1fd421fcfab0d9/2x3/2x/595663f333c293a206e09fd5412d16ac_1280x1920.jpg,/movie/watch-ab-tak-chhappan-movie-online-aa156e5f33a641cd4e1fd421fcfab0d9
Movie,Muthu,"Romance, Telugu, 1995",https://j2apps.s.llnwi.net/is1/media/images/a4f3d08a0f4943ad4ce108993f90fdc5/2x3/2x/test_pic1556864097142.jpg,/movie/watch-muthu-movie-online-a4f3d08a0f4943ad4ce108993f90fdc5
Movie,Attarintiki Daredi,"Action, Telugu, 2018",https://j2apps.s.llnwi.net/is1/media/images/52656c73d47d4edd9f4b6e6b35887333/2x3/2x/2582f06dfdcc24a98400255c8c2f9b8d_1280x1920.jpg,/movie/watch-attarintiki-daredi-movie-online-52656c73d47d4edd9f4b6e6b35887333
Movie,Narasimha,"Drama, Telugu, 1999",https://j2apps.s.llnwi.net/is1/media/images/54a9c436c761d3656c9814799a34b80b/2x3/2x/9934856bfbf02a70f95b8ab32053552c_1280x1920.jpg,/movie/watch-narasimha-movie-online-54a9c436c761d3656c9814799a34b80b
Movie,Kurukshetram,"Romance, Telugu, 2018",https://j2apps.s.llnwi.net/is1/media/images/d8530eca40216f906e0f4afc756816cc/2x3/2x/test_pic1544181287991.jpg,/movie/watch-kurukshetram-movie-online-d8530eca40216f906e0f4afc756816cc
Movie,Chameli  .,"Drama, Hindi, 2003",https://j2apps.s.llnwi.net/is1/media/images/7e2e7711bc4fc8ff26cdcb774727a5b1/2x3/2x/test_pic1554707434846.jpg,/movie/watch-chameli-movie-online-7e2e7711bc4fc8ff26cdcb774727a5b1
Movie,Surkhaab,"Thriller, Hindi, 2015",https://j2apps.s.llnwi.net/is1/media/images/115f3fe95e10946c7f6dc3e666f4738e/2x3/2x/5774981245001_270x405_logo.jpg,/movie/watch-surkhaab-movie-online-115f3fe95e10946c7f6dc3e666f4738e
Movie,Jawaan No 1,"Dub, Hindi, 2017",https://j2apps.s.llnwi.net/is1/media/images/f206d4e020f530215513cbe6ad13e5d7/2x3/2x/test_pic1552641601376.jpg,/movie/watch-jawaan-movie-online-f206d4e020f530215513cbe6ad13e5d7
Movie,Tum Ho Paas,"Drama, Hindi, 2019",https://j2apps.s.llnwi.net/is1/media/images/526cc68c0701887ed2717b2f7b12f2f7/2x3/2x/altbalaji_8bdd9a70f3949034be39f59acb58f994.jpg,/movie/watch-tum-ho-paas-movie-online-526cc68c0701887ed2717b2f7b12f2f7
Movie,Simha Mukhi (Telugu),"Romance, Telugu, 2011",https://j2apps.s.llnwi.net/is1/media/images/ad0a9b0f3c27e51f08185ba1841b2a6a/2x3/2x/5702856709001_270x405_logo.jpg,/movie/watch-simha-mukhi-telugu-movie-online-ad0a9b0f3c27e51f08185ba1841b2a6a
Movie,Veeram The Powerman,"Action, Hindi, 2014",https://j2apps.s.llnwi.net/is1/media/images/34113762cf16cc8396eb793380682646/2x3/2x/test_pic1555056412151.jpg,/movie/watch-veeram-the-powerman-movie-online-34113762cf16cc8396eb793380682646
Movie,Platform No-2,"Drama, Bhojpuri, 2018",https://j2apps.s.llnwi.net/is1/media/images/cb7630269cd4d9046418fa116cee026a/2x3/2x/da38c317764933f0f51ec39764b3549b_1280x1920.jpg,/movie/watch-platform-no2-movie-online-cb7630269cd4d9046418fa116cee026a
Movie,Lootera,"Drama, Hindi, 2013",https://j2apps.s.llnwi.net/is1/media/images/c3731b715f006df80d8bf78659f4b9fa/2x3/2x/altbalaji_2c3bbbe86f2e62c195eeba99245a4380.jpg,/movie/watch-lootera-movie-online-c3731b715f006df80d8bf78659f4b9fa
Movie,Rikshawodu (Telugu),"Drama, Telugu, 1995",https://j2apps.s.llnwi.net/is1/media/images/7d754c5f3cccd8f15850425eeef4d060/2x3/2x/5701822558001_270x405_logo.jpg,/movie/watch-rikshawodu-telugu-movie-online-7d754c5f3cccd8f15850425eeef4d060
Movie,Pulanaivuthurai,"Action, Tamil, 1997",https://j2apps.s.llnwi.net/is1/media/images/732b191c58ce62d9c7680173d09bfd42/2x3/2x/test_pic1533802515246.jpg,/movie/watch-pulanaivuthurai-movie-online-732b191c58ce62d9c7680173d09bfd42
Movie,Srimanthudu,"Drama, Telugu, 2015",https://j2apps.s.llnwi.net/is1/media/images/8a5262d764ef9f9614d87c74178f65dd/2x3/2x/test_pic1544597954108.jpg,/movie/watch-srimanthudu-movie-online-8a5262d764ef9f9614d87c74178f65dd
Movie,Endukante Premanta,"Comedy, Telugu, 2012",https://j2apps.s.llnwi.net/is1/media/images/f1dc0d7d962183742aad5b54c66dc1eb/2x3/2x/test_pic1539352345333.jpg,/movie/watch-endukante-premanta-movie-online-f1dc0d7d962183742aad5b54c66dc1eb
Movie,Indra,"Action, Telugu, 2002",https://j2apps.s.llnwi.net/is1/media/images/2a56f54e0bf67da02de052fc897f3e9a/2x3/2x/test_pic1528794792010.jpg,/movie/watch-indra-movie-online-2a56f54e0bf67da02de052fc897f3e9a
Movie,Mallanna,"Drama, Telugu, 2017",https://j2apps.s.llnwi.net/is1/media/images/6e4866cf23f630d44992f8f5de4cf43b/2x3/2x/test_pic1539859502944.jpg,/movie/watch-mallanna-movie-online-6e4866cf23f630d44992f8f5de4cf43b
Movie,Tagore,"Action, Telugu, 2003",https://j2apps.s.llnwi.net/is1/media/images/c84f2c7ab1c6ec83fe97997d77640d82/2x3/2x/test_pic1544007613527.jpg,/movie/watch-tagore-movie-online-c84f2c7ab1c6ec83fe97997d77640d82
Movie,Gudumba Shankar,"Comedy, Telugu, 2014",https://j2apps.s.llnwi.net/is1/media/images/96ed53af7577d02dcdc158d0d6f7c8ff/2x3/2x/test_pic1528180643325.jpg,/movie/watch-gudumba-shankar-movie-online-96ed53af7577d02dcdc158d0d6f7c8ff
Movie,Rojulu Marayi,"Drama, Telugu, 2018",https://j2apps.s.llnwi.net/is1/media/images/8d9642b791072f545afe3eda65b8f697/2x3/2x/2f70d308ca13dfa4889169ce50e9ed0a_1280x1920.jpg,/movie/watch-rojulu-marayi-movie-online-8d9642b791072f545afe3eda65b8f697
